yorum,Positivity
Yorum yapan arkadaşları gerçek den anlayamıyorum. Daha önce telefon kullanmış olamazlar 5 yıllık lg g3ün ekranı bundan daha kaliteli ve canlı görüntü sunuyordu tamam bu fullhd+ ama bu kadarda çamur gibi görüntü olmaz ki.,0
yazılım olarak abuk subuk ufak hatalar dolu ve güncelleme yok maalesef tipik çin firması. içinde gelen sözde sistem uygulamalarının neredeyse tamamında reklam var. klasörler gezgininde koca koca reklamlar var mesela şaka gibi. karanlık çekim kötü. şarj aparatı çok sert. -bunlar ve sayamadığım ufak tefek şeyler eksileri artılarına gelirsek telefon hızlı kasma yok. kamera iş görüyor. kapasite ve ram yeterli. ısınma problemi görmedim. şarz çok iyi gidiyor oyun oynamıyorum ama sürekli kullanıyorum. sonuç olarak güncelleme destek ve yazılım olayı benim için önemli olduğundan ve sistem uygulamalarında reklam görmek iğrenç geldiğinden bu markanın yanından bile geçmem bir daha.,0
1 aydır kullanıyorum ön kamerası berbat arka kamerada çok parlak cekiyo onuda  beğenmedim. iyi tarafına gelirsek görünüş olarak güzel şarjı  tüm gün sosyal medyadayim günü bitiriyor ben tavsiye etmiyorum,0
Bundan önce Lenovo k6 power kullandım ve şarjı iki gün gidiyordu. Bataryası şişme yaptı vs bunu alayım dedim. Şarjı bir gün yetiyor. Instagram Facebook Twitter gibi sosyal medya kullanmıyorum. Oyun oynamam. Bundle WhatsApp Google vs kullanıyorum. Şarji bence çok yetersiz. WhatsApp dan foto çekince bulanık çıkıyor. Kamerası beklentimin altında. İnternet bağlantısı gidip duruyor. Bu cihazların uyum sıkıntısı ile alakalı evafon sahibi bişeyler diyordu. Banka uygulamasına giriş yapacağım sms geliyor ama yukardan aşağı çekilmiyor.. Özetle basit bir kullanıcıyım ama memnun kalmadım,0
Bu fiyat bandında alınabilecek bir telefon. Ama bu yorumlardaki övüldüğü kadar iyi bir cihaz değil tekrar söylüyorum iyi değil. Ekranı inanılmaz soluk 5 yıllık G3 ümün ekranı daha canlı keskin görüntülere sahipti. Bazı arkadaşlar g3 2k ekran diyecek ama  olay 2k fhd+ olayı değil. Ekranı kalitesiz soluk görüntüler sunuyor  diyebilirim çok rahat. Yanlış anlaşılmasın bu iyi yorumları yapanlar sanırım daha önce telefon kullanmamış.,0
4 Gün oldu sipariş vereli güya gelecek telefon beklemedeyim. Hepsiburada ve ptt kargoya teşekkürler...,0
Çok performans meraklısı değilim. mi 5s plus kullanıyordum. redmi not 7 aldım yorumlara bakarak. Ama ekran renkleri çok soluk. Alakası yok WhatsApp rengi yeşil değil neredeyse turkuaz. iade edeceğim. Kimseye de al demiyorum. özellik olarak iyi olsa da ekran renklerini çok yadırgadım. Fiyasko bence 100 lira daha verirdim ekran rengi soluk olmasaydı. hangi akılla böyle bir hata yaparlar bu teknolojiye büsbütün haksızlık.,0
Ürünü gelecek bizde adlı satıcıdan aldım.aynı ürün arkadaşımda var onla kıyasladım ve bazen telefon kasıyor bu da dokunmatiğin düzgün çalışmasını engelliyor(kalabalık ortamlarda yapıyor).ürünü iade etmek istedim servis raporu istediler ve ürün kullanılmış diyerekten iade kabul olmadı.ürünü kullanmadan sorunlarını çözmem gerekiyordu benim hatam bu galiba.donmalar devam ederse garantiye göndereceğim.daha önce sony z5 kullanıyordum.onla kıyasladığımda; şarjı wirelles ve telefonun çekim gücü çok iyi.sadece dokunmatik hassasiyeti hoşuma gitmedi.birde ekranın kalitesi z5 gibi değil.çok fazla renk var gerçeklik az.normal kullanıcılar farkı anlamayabilir.,0
Note adı altında telefon yapıyosun halen NFC yok,0
Kesinlikle tavsiye ETMİYORUM ! Dokunmatik çok kötü  hızı çok kötü  takılmalar kasmalar var. Bu fiyata biraz daha ekleyip samsung veya ıphone alın. Samsunga isminden dolayı fazla para vermem  diyenlerdendim ama Samsung Samsungdur. Samsung da kullandım  ıphone da kullandım ama bu telefon gerçekten sadece kağıt üstünde iyi. Çok büyük hayal kırıklığı yaşadım.,0
kargo çok geç geliyor ama telfon genel olarak çok iyi duruyor telefonu aldıktan sonrada fiyatının düşmesi bizi üzdü açıkcası,0
AMAN TANRIM BU ÜRÜN Bİ HARİKA THANK YOU (BY MI),0
TELEFON ÇOK DANDIK.ACABA İNSANLAR BUNU NİYE ANLAMIYOR.Mİ NEDEN UCUZ DİYE İŞTE BU YÜZDEN ÇOK DANDİK MALZEMELER KULLANIYORLAR.HİÇ OYUN OYNAMAM AMA SARJINI GUNDE 2 KERE ŞARJ EDIYORUM.TELEFON ARADA BİR KENDİ KAPANIYO GARANTIYE VERDİM KULLANICI HATASI DEDI ALMAYIN DIĞER MARKALARA BAKIN DERIM.DİĞER MARKALARDANDA SAKIN ÇINLİ OLANLARI ALMAYIN SAMSUNG YADA IPHONE ALIN GERISI HIKAYE,0
Telefon fena değil. Dokunmatik çok iyi değil önce onu soyliym. Çok sık telefon değiştiren biri değilim fakat bende yorumlardan araştırıp aldım. Şu anki kullanıma bakılırsa normal bir kullanıcı olarak gayet stabil çalışıyor. Dokunmatik hassasliginda takıntılı olanlar ürünü önce bir mağazada inceleyip öyle almayı düşünsün.  Ama bu verdiğim puan bitti bitiyor satıcısınadir. Bari kargo parasını sen verseydin ayıp.,0
